VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-12-01 00:00:48,2015-12-01 00:33:51,1,18.29,-74.008522033691406,40.714363098144531,5,N,-74.164329528808594,40.872417449951172,1,70,0,0,14,11.75,0.3,96.05
2,2015-12-01 00:00:48,2015-12-01 00:23:29,6,13.45,-73.872886657714844,40.77423095703125,1,N,-74.01727294921875,40.70697021484375,1,36.5,0.5,0.5,8.67,5.54,0.3,52.01
1,2015-12-01 00:00:49,2015-12-01 00:10:20,1,2.00,-73.987770080566406,40.744106292724609,1,N,-73.984100341796875,40.767166137695313,2,9,0.5,0.5,0,0,0.3,10.3
1,2015-12-01 00:00:49,2015-12-01 00:09:14,1,1.80,-73.999839782714844,40.743328094482422,1,N,-73.975608825683594,40.728645324707031,1,8.5,0.5,0.5,1.95,0,0.3,11.75
2,2015-12-01 00:00:49,2015-12-01 00:12:22,1,1.93,-73.99310302734375,40.742080688476562,1,N,-74.007453918457031,40.741111755371094,2,10,0.5,0.5,0,0,0.3,11.3
2,2015-12-01 00:00:49,2015-12-01 00:08:33,1,2.01,-73.955818176269531,40.714099884033203,1,N,-73.954986572265625,40.734779357910156,2,8.5,0.5,0.5,0,0,0.3,9.8
2,2015-12-01 00:00:49,2015-12-01 00:02:10,2,.32,-73.987762451171875,40.765209197998047,1,N,-73.990470886230469,40.7613525390625,1,3.5,0.5,0.5,1.44,0,0.3,6.24
2,2015-12-01 00:00:49,2015-12-01 00:42:59,1,18.54,-73.788627624511719,40.644996643066406,2,N,-74.00531005859375,40.745723724365234,1,52,0,0.5,7,5.54,0.3,65.34
1,2015-12-01 00:00:50,2015-12-01 00:02:57,1,.40,-73.982894897460938,40.739662170410156,1,N,-73.986648559570313,40.734096527099609,1,3.5,0.5,0.5,0.95,0,0.3,5.75
1,2015-12-01 00:00:51,2015-12-01 00:11:31,1,3.40,-73.976089477539063,40.755893707275391,1,N,-73.96710205078125,40.792709350585937,3,11.5,0.5,0.5,0,0,0.3,12.8
1,2015-12-01 00:00:51,2015-12-01 00:43:58,2,17.50,-73.790000915527344,40.646953582763672,2,N,-73.996498107910156,40.761013031005859,1,52,0,0.5,10,5.54,0.3,68.34
1,2015-12-01 00:00:51,2015-12-01 00:04:36,1,1.10,-73.973533630371094,40.677215576171875,1,N,-73.953750610351563,40.673667907714844,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2015-12-01 00:00:51,2015-12-01 00:13:01,6,2.51,-73.942611694335938,40.725677490234375,1,N,-73.920387268066406,40.707855224609375,1,11,0.5,0.5,2.46,0,0.3,14.76
2,2015-12-01 00:00:51,2015-12-01 00:21:45,1,9.87,-73.942581176757812,40.842121124267578,1,N,-74.005081176757813,40.731868743896484,1,29,0.5,0.5,6.06,0,0.3,36.36
1,2015-12-01 00:00:52,2015-12-01 00:04:40,1,.30,-73.980812072753906,40.763450622558594,1,N,-73.978034973144531,40.765201568603516,2,4.5,0.5,0.5,0,0,0.3,5.8
